ticker,country,actual_pb,fair_pb_v1,fair_pb_v2,fair_pb_change,mispricing_v1,mispricing_v2
JDO.AX,AUS,0.582,0.631,0.709,0.078,0.085,0.219
BBL.BK,THA,0.628,0.626,0.743,0.117,-0.002,0.184
BOQ.AX,AUS,0.685,0.488,0.721,0.233,-0.287,0.052
BAY.BK,THA,0.769,0.749,0.748,-0.001,-0.026,-0.027
BEN.AX,AUS,0.887,0.327,0.736,0.409,-0.631,-0.17
KBANK.BK,THA,0.917,0.645,0.759,0.114,-0.297,-0.173
SCB.BK,THA,1.017,0.724,0.827,0.103,-0.288,-0.187
TTB.BK,THA,0.969,0.682,0.782,0.1,-0.297,-0.193
KTB.BK,THA,1.182,0.859,0.866,0.007,-0.273,-0.268
KKP.BK,THA,1.259,0.689,0.789,0.1,-0.453,-0.373
TISCO.BK,THA,2.147,1.107,1.301,0.194,-0.484,-0.394
ANZ.AX,AUS,1.483,0.911,0.872,-0.039,-0.386,-0.412
WBC.AX,AUS,1.656,1.053,0.95,-0.103,-0.364,-0.426
NAB.AX,AUS,1.954,1.059,1.111,0.052,-0.458,-0.431
CBA.AX,AUS,3.565,1.438,1.373,-0.065,-0.597,-0.615
MQG.AX,AUS,2.653,0.99,1.011,0.021,-0.627,-0.619
